S04bsu025_u	Nairātmyaparipṛcchā sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu025_u.htm
S04bsu026_u	Pratītyasamutpāda mahāyāna sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu026_u.htm
S04bsu029_u	Rāṣṭrapālaparipṛcchā	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu029_u.htm
S04bsu021_u	Saddharmalaṅkāvatāra sūtra [Laṅkāvatāra sūtra]	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu021_u.htm
S04bsu036_u	Saddharmapuṇḍarīka sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu036_u.htm
S04bsu038_u	Sāgaranāgarājaparipṛcchā Nāma Mahāyāna sūtram	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu038_u.htm
S04bsu031_u	Śālistamba sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu031_u.htm
S04bsu034_u	Samādhirāja sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu034_u.htm
S04srajsgiu	Samādhirāja sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/srajsgiu.htm
S04bsu045_u	Saṃghāṭa Sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu045_u.htm
S04samghscu	Saṃghāṭa sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/samghscu.htm
S04bsu037_u	Sarvatathāgatādhiṣṭhānavyūha Sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu037_u.htm
S04bsu032_u	Sukhāvatīvyūha sūtra saṃkṣiptamātṛkā	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu032_u.htm
S04sukhvysu	Sukhāvatīvyūha sūtra saṃkṣiptamātṛkā	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/sukhvysu.htm
S04bsu033_u	Sukhāvatīvyūha sūtra vistaramātṛkā	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu033_u.htm
S04sukhvylu	Sukhāvatīvyūha sūtra vistaramātṛkā	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/sukhvylu.htm
S04bsu035_u	Suvarṇaprabhāsa sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu035_u.htm
S04bsu061_u	Vimalakīrtinirdeśa sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu061_u.htm
S04vimkn_u	Vimalakīrtinirdeśa sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/vimkn_u.htm
S04bsu040_u	Vinayaviniścaya upāliparipṛcchā sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu040_u.htm
S05bsu013_u	Āryacaturdharmanirdeśa sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu013_u.htm
S05bsu027_u	Pratītyasamutpādādivibhaṅganirdeśa sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu027_u.htm
S06adhsatpu	Adhyardhaśatikā Prajñāpāramitā	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/adhsatpu.htm
S06bsu056_u	Adhyardhaśatikā Prajñāpāramitā	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu056_u.htm
S06bsu057_u	Advayaśatikā Prajñāpāramitā Sūtra	http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu057_u.htm
