Derge	Lhasa	BuddhaNexus Link
D0134 	H0136 	https://buddhanexus.net/tib/text/K10D0134_H0136
D0136 	H0137 	https://buddhanexus.net/tib/text/K10D0136_H0137
D0135 	H0138 	https://buddhanexus.net/tib/text/K10D0135_H0138
D0137 	H0139 	https://buddhanexus.net/tib/text/K10D0137_H0139
D0138 	H0140 	https://buddhanexus.net/tib/text/K10D0138_H0140
D0139 	H0141 	https://buddhanexus.net/tib/text/K10D0139_H0141
D0140=D0525=D0914 	H0142 	https://buddhanexus.net/tib/text/K10D0140=D0525=D0914_H0142
D0141=D0526=D0916 	H0143 	https://buddhanexus.net/tib/text/K10D0141=D0526=D0916_H0143
D0142 	H0144 	https://buddhanexus.net/tib/text/K10D0142_H0144
D0143=D0611=D0918 	H0145 	https://buddhanexus.net/tib/text/K10D0143=D0611=D0918_H0145
D0144 	H0146 	https://buddhanexus.net/tib/text/K10D0144_H0146
D0146 	H0147 	https://buddhanexus.net/tib/text/K10D0146_H0147
D0147 	H0148 	https://buddhanexus.net/tib/text/K10D0147_H0148
D0148 	H0149 	https://buddhanexus.net/tib/text/K10D0148_H0149
D0149 	H0150 	https://buddhanexus.net/tib/text/K10D0149_H0150
D0150 	H0151 	https://buddhanexus.net/tib/text/K10D0150_H0151
D0151 	H0152 	https://buddhanexus.net/tib/text/K10D0151_H0152
D0152 	H0153 	https://buddhanexus.net/tib/text/K10D0152_H0153
D0153 	H0154 	https://buddhanexus.net/tib/text/K10D0153_H0154
D0154 	H0155 	https://buddhanexus.net/tib/text/K10D0154_H0155
D0155 	H0156 	https://buddhanexus.net/tib/text/K10D0155_H0156
D0156 	H0157 	https://buddhanexus.net/tib/text/K10D0156_H0157
D0157 	H0158 	https://buddhanexus.net/tib/text/K10D0157_H0158
D0158 	H0159 	https://buddhanexus.net/tib/text/K10D0158_H0159
D0159 	H0160 	https://buddhanexus.net/tib/text/K10D0159_H0160
D0160 	H0161 	https://buddhanexus.net/tib/text/K10D0160_H0161
D0161 	H0162 	https://buddhanexus.net/tib/text/K10D0161_H0162
D0162 	H0163 	https://buddhanexus.net/tib/text/K10D0162_H0163
D0163 	H0164 	https://buddhanexus.net/tib/text/K10D0163_H0164
D0164 	H0165 	https://buddhanexus.net/tib/text/K10D0164_H0165
D0165 	H0166 	https://buddhanexus.net/tib/text/K10D0165_H0166
D0166 	H0167 	https://buddhanexus.net/tib/text/K10D0166_H0167
D0167 	H0168 	https://buddhanexus.net/tib/text/K10D0167_H0168
D0168 	H0169 	https://buddhanexus.net/tib/text/K10D0168_H0169
D0169 	H0170 	https://buddhanexus.net/tib/text/K10D0169_H0170
D0170 	H0171 	https://buddhanexus.net/tib/text/K10D0170_H0171
D0171 	H0172 	https://buddhanexus.net/tib/text/K10D0171_H0172
D0172 	H0173 	https://buddhanexus.net/tib/text/K10D0172_H0173
D0173 	H0174 	https://buddhanexus.net/tib/text/K10D0173_H0174
D0174 	H0175 	https://buddhanexus.net/tib/text/K10D0174_H0175
D0175 	H0176 	https://buddhanexus.net/tib/text/K10D0175_H0176
D0176 	H0177 	https://buddhanexus.net/tib/text/K10D0176_H0177
D0177 	H0178 	https://buddhanexus.net/tib/text/K10D0177_H0178
D0178 	H0179 	https://buddhanexus.net/tib/text/K10D0178_H0179
D0179 	H0180 	https://buddhanexus.net/tib/text/K10D0179_H0180
D0180 	H0181 	https://buddhanexus.net/tib/text/K10D0180_H0181
D0181 	H0182 	https://buddhanexus.net/tib/text/K10D0181_H0182
D0182 	H0183 	https://buddhanexus.net/tib/text/K10D0182_H0183
D0183 	H0184 	https://buddhanexus.net/tib/text/K10D0183_H0184
D0184 	H0185 	https://buddhanexus.net/tib/text/K10D0184_H0185
D0185 	H0186 	https://buddhanexus.net/tib/text/K10D0185_H0186
D0186 	H0187 	https://buddhanexus.net/tib/text/K10D0186_H0187
D0187 	H0188 	https://buddhanexus.net/tib/text/K10D0187_H0188
D0188 	H0189 	https://buddhanexus.net/tib/text/K10D0188_H0189
D0189 	H0190 	https://buddhanexus.net/tib/text/K10D0189_H0190
D0190 	H0191 	https://buddhanexus.net/tib/text/K10D0190_H0191
D0191 	H0192 	https://buddhanexus.net/tib/text/K10D0191_H0192
D0192 	H0193 	https://buddhanexus.net/tib/text/K10D0192_H0193
D0193 	H0194 	https://buddhanexus.net/tib/text/K10D0193_H0194
D0194 	H0195 	https://buddhanexus.net/tib/text/K10D0194_H0195
D0195 	H0196 	https://buddhanexus.net/tib/text/K10D0195_H0196
D0196 	H0197 	https://buddhanexus.net/tib/text/K10D0196_H0197
D0197 	H0198 	https://buddhanexus.net/tib/text/K10D0197_H0198
D0198 	H0199 	https://buddhanexus.net/tib/text/K10D0198_H0199
D0199 	H0200 	https://buddhanexus.net/tib/text/K10D0199_H0200
D0200 	H0201 	https://buddhanexus.net/tib/text/K10D0200_H0201
D0201 	H0202 	https://buddhanexus.net/tib/text/K10D0201_H0202
D0202 	H0203 	https://buddhanexus.net/tib/text/K10D0202_H0203
D0203 	H0204 	https://buddhanexus.net/tib/text/K10D0203_H0204
D0204 	H0205 	https://buddhanexus.net/tib/text/K10D0204_H0205
D0205 	H0206 	https://buddhanexus.net/tib/text/K10D0205_H0206
D0206 	H0207 	https://buddhanexus.net/tib/text/K10D0206_H0207
D0207 	H0208 	https://buddhanexus.net/tib/text/K10D0207_H0208
D0208 	H0209 	https://buddhanexus.net/tib/text/K10D0208_H0209
D0209 	H0210 	https://buddhanexus.net/tib/text/K10D0209_H0210
D0210 	H0211 	https://buddhanexus.net/tib/text/K10D0210_H0211
D0211 	H0212 	https://buddhanexus.net/tib/text/K10D0211_H0212
D0212=D0520=D0980 	H0213 	https://buddhanexus.net/tib/text/K10D0212=D0520=D0980_H0213
D0213 	H0214 	https://buddhanexus.net/tib/text/K10D0213_H0214
D0214 	H0215 	https://buddhanexus.net/tib/text/K10D0214_H0215
D0215 	H0216 	https://buddhanexus.net/tib/text/K10D0215_H0216
D0216 	H0217 	https://buddhanexus.net/tib/text/K10D0216_H0217
D0217 	H0218 	https://buddhanexus.net/tib/text/K10D0217_H0218
D0218 	H0219 	https://buddhanexus.net/tib/text/K10D0218_H0219
D0219 	H0220 	https://buddhanexus.net/tib/text/K10D0219_H0220
D0220 	H0221 	https://buddhanexus.net/tib/text/K10D0220_H0221
D0221 	H0222 	https://buddhanexus.net/tib/text/K10D0221_H0222
D0222 	H0223 	https://buddhanexus.net/tib/text/K10D0222_H0223
D0223 	H0224 	https://buddhanexus.net/tib/text/K10D0223_H0224
D0224 	H0225 	https://buddhanexus.net/tib/text/K10D0224_H0225
D0225 	H0226 	https://buddhanexus.net/tib/text/K10D0225_H0226
D0226 	H0227 	https://buddhanexus.net/tib/text/K10D0226_H0227
D0227 	H0228 	https://buddhanexus.net/tib/text/K10D0227_H0228
D0228 	H0229 	https://buddhanexus.net/tib/text/K10D0228_H0229
D0229 	H0230 	https://buddhanexus.net/tib/text/K10D0229_H0230
D0230 	H0231 	https://buddhanexus.net/tib/text/K10D0230_H0231
D0231 	H0232 	https://buddhanexus.net/tib/text/K10D0231_H0232
D0232 	H0233 	https://buddhanexus.net/tib/text/K10D0232_H0233
D0233 	H0234 	https://buddhanexus.net/tib/text/K10D0233_H0234
D0234=D0658=D1064 	H0235 	https://buddhanexus.net/tib/text/K10D0234=D0658=D1064_H0235
D0235=D0657=D1063 	H0236 	https://buddhanexus.net/tib/text/K10D0235=D0657=D1063_H0236
D0236 	H0237 	https://buddhanexus.net/tib/text/K10D0236_H0237
D0237 	H0238 	https://buddhanexus.net/tib/text/K10D0237_H0238
D0238 	H0239 	https://buddhanexus.net/tib/text/K10D0238_H0239
D0239 	H0240 	https://buddhanexus.net/tib/text/K10D0239_H0240
D0240 	H0241 	https://buddhanexus.net/tib/text/K10D0240_H0241
D0241 	H0242 	https://buddhanexus.net/tib/text/K10D0241_H0242
D0242 	H0765=H0243 	https://buddhanexus.net/tib/text/K10D0242_H0765=H0243
D0243 	H0244 	https://buddhanexus.net/tib/text/K10D0243_H0244
D0244 	H0245 	https://buddhanexus.net/tib/text/K10D0244_H0245
D0245 	H0246 	https://buddhanexus.net/tib/text/K10D0245_H0246
D0246 	H0247 	https://buddhanexus.net/tib/text/K10D0246_H0247
D0247 	H0248 	https://buddhanexus.net/tib/text/K10D0247_H0248
D0248 	H0249 	https://buddhanexus.net/tib/text/K10D0248_H0249
D0249 	H0250 	https://buddhanexus.net/tib/text/K10D0249_H0250
D0250 	H0251 	https://buddhanexus.net/tib/text/K10D0250_H0251
D0251 	H0252 	https://buddhanexus.net/tib/text/K10D0251_H0252
D0252 	H0253 	https://buddhanexus.net/tib/text/K10D0252_H0253
D0253 	H0254 	https://buddhanexus.net/tib/text/K10D0253_H0254
D0254 	H0255 	https://buddhanexus.net/tib/text/K10D0254_H0255
D0255 	H0256 	https://buddhanexus.net/tib/text/K10D0255_H0256
D0256 	H0257 	https://buddhanexus.net/tib/text/K10D0256_H0257
D0257 	H0258 	https://buddhanexus.net/tib/text/K10D0257_H0258
Dx 	H0259 	https://buddhanexus.net/tib/text/K10Dx_H0259
D0258 	H0260 	https://buddhanexus.net/tib/text/K10D0258_H0260
D0259 	H0261 	https://buddhanexus.net/tib/text/K10D0259_H0261
D0260 	H0262 	https://buddhanexus.net/tib/text/K10D0260_H0262
D0261 	H0263 	https://buddhanexus.net/tib/text/K10D0261_H0263
D0262 	H0264 	https://buddhanexus.net/tib/text/K10D0262_H0264
D0263 	H0265 	https://buddhanexus.net/tib/text/K10D0263_H0265
D0264 	H0266 	https://buddhanexus.net/tib/text/K10D0264_H0266
D0265 	H0267 	https://buddhanexus.net/tib/text/K10D0265_H0267
D0266 	H0268 	https://buddhanexus.net/tib/text/K10D0266_H0268
D0267 	H0269 	https://buddhanexus.net/tib/text/K10D0267_H0269
D0268 	H0270 	https://buddhanexus.net/tib/text/K10D0268_H0270
D0269 	H0271 	https://buddhanexus.net/tib/text/K10D0269_H0271
D0270=D0512=D0852 	H0272 	https://buddhanexus.net/tib/text/K10D0270=D0512=D0852_H0272
D0271 	H0273 	https://buddhanexus.net/tib/text/K10D0271_H0273
D0272 	H0274 	https://buddhanexus.net/tib/text/K10D0272_H0274
D0273=D0511=D0853 	H0275 	https://buddhanexus.net/tib/text/K10D0273=D0511=D0853_H0275
D0274 	H0276 	https://buddhanexus.net/tib/text/K10D0274_H0276
D0275 	H0277 	https://buddhanexus.net/tib/text/K10D0275_H0277
D0276 	H0278 	https://buddhanexus.net/tib/text/K10D0276_H0278
D0277 	H0279 	https://buddhanexus.net/tib/text/K10D0277_H0279
D0278 	H0280 	https://buddhanexus.net/tib/text/K10D0278_H0280
D0279 	H0281 	https://buddhanexus.net/tib/text/K10D0279_H0281
D0280 	H0282 	https://buddhanexus.net/tib/text/K10D0280_H0282
D0281 	H0283 	https://buddhanexus.net/tib/text/K10D0281_H0283
D0282 	H0284 	https://buddhanexus.net/tib/text/K10D0282_H0284
D0283 	H0285 	https://buddhanexus.net/tib/text/K10D0283_H0285
D0284 	H0286 	https://buddhanexus.net/tib/text/K10D0284_H0286
D0285 	H0287 	https://buddhanexus.net/tib/text/K10D0285_H0287
D0286 	H0288 	https://buddhanexus.net/tib/text/K10D0286_H0288
D0287 	H0289 	https://buddhanexus.net/tib/text/K10D0287_H0289
D0287.2 	H0289.2 	https://buddhanexus.net/tib/text/K10D0287-2_H0289-2
D0287.3 	H0289.3 	https://buddhanexus.net/tib/text/K10D0287-3_H0289-3
D0287.4 	H0289.4 	https://buddhanexus.net/tib/text/K10D0287-4_H0289-4
Dx 	H0290 	https://buddhanexus.net/tib/text/K10Dx_H0290
D0288 	H0291 	https://buddhanexus.net/tib/text/K10D0288_H0291
D0289 	H0292 	https://buddhanexus.net/tib/text/K10D0289_H0292
D0290 	H0293 	https://buddhanexus.net/tib/text/K10D0290_H0293
D0291 	H0294 	https://buddhanexus.net/tib/text/K10D0291_H0294
D0292 	H0295 	https://buddhanexus.net/tib/text/K10D0292_H0295
D0293 	H0296 	https://buddhanexus.net/tib/text/K10D0293_H0296
D0294 	H0297 	https://buddhanexus.net/tib/text/K10D0294_H0297
D0295 	H0298 	https://buddhanexus.net/tib/text/K10D0295_H0298
D0296 	H0299 	https://buddhanexus.net/tib/text/K10D0296_H0299
D0297 	H0300 	https://buddhanexus.net/tib/text/K10D0297_H0300
D0298 	H0301 	https://buddhanexus.net/tib/text/K10D0298_H0301
D0299 	H0302 	https://buddhanexus.net/tib/text/K10D0299_H0302
D0300 	H0303 	https://buddhanexus.net/tib/text/K10D0300_H0303
D0301 	H0304 	https://buddhanexus.net/tib/text/K10D0301_H0304
D0302 	H0305 	https://buddhanexus.net/tib/text/K10D0302_H0305
