	title	vol	Name of Author	Claimed Provenance	start	end	Colophon
015(ba)007	sngon 'gro yan lag brgyad pa'i dbu/	15	gNubs Sangs rgyas ye shes rin po che	Tib	131	164	gnubs sangs rgyas rin po ches mdzad pa rdzogs so ||
015(ba)008	sgyu 'phrul brgyud pa'i gsol 'debs bka' brgyud gser phreng/	15	Ye shes rgyal mtshan	Tib	165	178	ces sgyu 'phrul brgyud pa'i gsol 'debs bka' rgyud gser phreng zhes bya ba 'di ni mkhas grub chos rje ye shes rgyal mtshan pas mdzad nas dar rgyas par bya'o ||
015(ba)009	dpal gsang ba snying po'i brgyud 'debs ku mud phreng ba'i don bsdus/	15	Chos kyi rgya mtsho	Tib	179	182	o rgyan phun tshogs thugs kyi rdo rje dang || blo gros chen po kun mkhyen si tu pa || chos kyi rgya mtsho 'khor lo'i dbang phyug la || gsol 'debs phyag 'tshal byin brlabs dngos grub stsol |  | 'og min chos kyi dbyings kyi pho brang du || dam pa'i mdzod 'chang kun bzang dgongs pa'i rtsal || mngon rdzogs dus gsum sgyu 'phrul bla ma la || gsol 'debs phyag 'tshal byin brlabs dngos grub stsol || yid kyi lha sku stobs rdzogs rnam par smin || lus sems rdo rje'i gnas grub tshe la dabnga |  | 'ja' lus g.yo ba med pa phyag rgya che || rtsol med lhun grub rig 'dzin bzhi bsgrod shog | kun mkhyen si tu'i gsung las cung zad bsdus te many+dzusa bris pa dge'o ||
015(ba)010	zhi ba'i lhan thabs dbu'i gzigs phyogs/	15	Sangs rgyas rdo rje	Tib	183	192	ces pa 'di ni bdag b+hu d+ha badz+rasa rang gzhan gyi rmongs pa sel ba'i ched du | mngon par rtogs pa'i kha bskong lhan thabs su | kaHthoga ri khrod du sbyar ba dge legs su gyur | gzhung gi bar mtshams su sbyar dgos pa mchan dang bla ma'i zhal ras shes par gyis shig ||
015(ba)011	sgyu 'phrul zhi ba drwa chen gyi dbu/	15	Unknown		193	239	
015(ba)012	zhi ba'i bsnyen pa'i skabs dzab bzlas bi dza'i gsung /	15	Kun bzang rnam rgyal (Bi dza)	Tib	239	241	 gtso bo la las rung tsam 'bum phrag bzhi'i ma mthar bzung bas | gzhan phyed cha'i rim pas grangs bzung ba'o || zin bris btu ba po bi dza'i ming can no ||
015(ba)013	gtang rag mchod bstod bi dza'i gsung /	15	Kun bzang rnam rgyal	Tib	241	242	zhes pa'ang bi dzas bkod pa'o ||
015(ba)014	sgyu 'phrul drwa ba zhi ba'i dkyil 'khor gyi cho ga 'od zer brgya pa/	15	Kun bzang rnam rgyal	Tib	243	270	'di yang shing rta chen po sangs rgyas gsang ba'i gzhung ltar 7gter chen rin po che sangs rgyas dngos mtshungs khyab bdag 'gyur med rdo rje'i mdzad pa'i gzhung las skabs 'dir 'os thob tsam du nyung ngur dril ba po bi dza'i ming gis de wi ko tra gnyis pa'i gnas su 'du ba chen por legs par bkod pa 'dis bdag kyang tshe rabs kun tu chos mdzod dam pa 'chang ba'i skal ba dang ldan par gyur cig ||
015(ba)015	khrag 'thung dam pa rgyan gyi dbu/	15	Unknown		271	300	
015(ba)016	khro bo'i sems lnga/	15	Unknown		301	331	
015(ba)017	khro bo'i bsnyen dmigs bi dza'i gsung /	15	Kun bzang rnam rgyal	Tib	331	334	yig rnying gi don bsdus te bi dza'i ming gis spel ba dge |
