NY0238	gshin rje nag po kha thun gsang ba de kho na nyid phyi ma'i rgyud
NY0239	dpal tshe bdag nag po drag sngags mngon du phyung ba'i rgyud
NY0240	'jam dpal khro bo snying fzer gsang ba'i rgyud
NY0241	drag po phung byed kyi rgyud
NY0242	'jig rten gsum gyi shes pa bsgral ba'i rgyud
NY0243	bde bzhin gshegs pa thams cad dgongs pa khro bo 'dus pa'i rgyud
NY0244	gshin rje'i nag po chu thig sngon mo'i rgyud
NY0245	gnod sbyin gdong gsum pa'i rgyud
NY0246	gshin rje'i nag po ngan sngags phyir bzlog pa'i rgyud
NY0247	'phags pa 'jam dpal mched bzhi'i sngags rgyud
NY0248	'jam dpal gshin rje'i ma ru tse'i sngags rgyud
NY0249	rta mchog rol pa'i rgyud
NY0250	dbang rgyas rta mchog rol pa'i rgyud
NY0251	dpal pad ma dbang chen dregs pa srung bzlog yon tan gyi rgyud
NY0252	pad ma dbang chen dregs pa gzan 'bebs kyi rgyud
NY0253	dpal pad ma dbang chen dregs pa gnad 'bebs kyi rgyud
NY0254	dbang chen dregs pa dbang sdus kyi rgyud
NY0255	dbang chen 'dus pa'i rgyud
NY0256	dbang chen bsdus pa'i rgyud
NY0257	pad ma dbang chen bde gshegs 'dus pa'i rgyud
NY0258	dpal rta mgrin las rgyud
NY0259	dpal pad ma dbang chen dregs pa tshar gcod gyi rgyud
NY0260	pad ma dbang chen yang gsang khros pa'i rgyud
NY0261	dpal rta mgrin gsang ba phrin las kyi rgyud
NY0262	phyir bzlog pa stobs chen rta mgrin gyi rgyud
NY0263	klu 'dul ba zhes bya ba'i rgyud
NY0264	dpal he ru ka'i thugs kyi rgyud rgyal po
NY0265	dpal khrag thung gal po
NY0266	rdo rje rigs kyi sgrub lugs
NY0267	de bzhin rigs kyi sgrub thabs gsang ba me dpung thugs kyi rgyud
NY0268	thams cad bdud rtsi lnga'i rang bzhin dngos grub chen po nye ba'i snying po mchog
NY0269	thams cad bud rtsi lnga'i rang bzhin
NY0270	bdud rtsi rin po che ye shes gsang ba 'khor lo'i rgyud
NY0271	bdud rtsi chen po 'khor lo 'bar ba'i rgyud
NY0272	rin po che phreng ba'i rgyud
NY0273	bdud rtsi bde ba chen po'i rgyud
NY0274	thams cad bdud rtsi lnga'i rang bzhin 'khrungs shing skye bar byed pa'i 'bras bu rin po che 'od ltar 'bar ba'i rgyud
NY0275	bdud rtsi las rgya mtsho'i rgyud
NY0276	thams cad bdud rtsi lnga'i rang bzhin dngos grub chen po nye ba'i snying po mchog
NY0277	bdud rtsi chen po chos nyid gsang ba'i rgyud
NY0278	sangs rgyas thams cad kyi bdud rtsi ye shes 'od ldan gyi rgyud
NY0279	rdo rje khros pa phur pa rtsa ba'i rgyud
NY0280	dpal rdo rje gzhon nu thugs rje khros pa rtsa ba'i rgyud kyi bshad pa
NY0281	rdo rje phur by gsang ba'i rtsa ba rnal 'byor chen po yang dag pa'i rgyud
NY0282	bde bzhin gshegs pa chen po rdo rje phur pa'i rgyud
NY0283	phrin las phun sum tshogs pa'i rgyud
NY0284	phur pa phrin las kyi rgyud
NY0285	rdo rje phur pa chen po gtor ma'i rgyud
