Derge	Lhasa	BuddhaNexus link
K10D0110 	H0113 	https://buddhanexus.net/tib/text/K10D0110_H0113
K10D0111 	H0114 	https://buddhanexus.net/tib/text/K10D0111_H0114
K10D0112 	H0115 	https://buddhanexus.net/tib/text/K10D0112_H0115
K10D0113 	H0116 	https://buddhanexus.net/tib/text/K10D0113_H0116
K10D0114=D0527 	H0117 	https://buddhanexus.net/tib/text/K10D0114=D0527_H0117
K10D0115 	H0118 	https://buddhanexus.net/tib/text/K10D0115_H0118
K10D0116 	H0119 	https://buddhanexus.net/tib/text/K10D0116_H0119
K10D0117 	H0120 	https://buddhanexus.net/tib/text/K10D0117_H0120
K10D0118 	H0121 	https://buddhanexus.net/tib/text/K10D0118_H0121
K10D0120 	H0122 	https://buddhanexus.net/tib/text/K10D0120_H0122
K10D0121 	H0123 	https://buddhanexus.net/tib/text/K10D0121_H0123
K10D0122 	H0124 	https://buddhanexus.net/tib/text/K10D0122_H0124
K10D0123 	H0125 	https://buddhanexus.net/tib/text/K10D0123_H0125
K10D0124 	H0126 	https://buddhanexus.net/tib/text/K10D0124_H0126
K10D0125 	H0127 	https://buddhanexus.net/tib/text/K10D0125_H0127
K10D0126 	H0128 	https://buddhanexus.net/tib/text/K10D0126_H0128
K10D0127 	H0129 	https://buddhanexus.net/tib/text/K10D0127_H0129
K10D0128 	H0130 	https://buddhanexus.net/tib/text/K10D0128_H0130
K10D0129 	H0131 	https://buddhanexus.net/tib/text/K10D0129_H0131
K10D0130 	H0132 	https://buddhanexus.net/tib/text/K10D0130_H0132
K10D0131 	H0133 	https://buddhanexus.net/tib/text/K10D0131_H0133
K10D0132 	H0134 	https://buddhanexus.net/tib/text/K10D0132_H0134
K10D0133 	H0135 	https://buddhanexus.net/tib/text/K10D0133_H0135
K10D0134 	H0136 	https://buddhanexus.net/tib/text/K10D0134_H0136
K10D0136 	H0137 	https://buddhanexus.net/tib/text/K10D0136_H0137
K10D0135 	H0138 	https://buddhanexus.net/tib/text/K10D0135_H0138
K10D0137 	H0139 	https://buddhanexus.net/tib/text/K10D0137_H0139
K10D0138 	H0140 	https://buddhanexus.net/tib/text/K10D0138_H0140
K10D0139 	H0141 	https://buddhanexus.net/tib/text/K10D0139_H0141
K10D0140=D0525=D0914 	H0142 	https://buddhanexus.net/tib/text/K10D0140=D0525=D0914_H0142
K10D0141=D0526=D0916 	H0143 	https://buddhanexus.net/tib/text/K10D0141=D0526=D0916_H0143
K10D0142 	H0144 	https://buddhanexus.net/tib/text/K10D0142_H0144
K10D0143=D0611=D0918 	H0145 	https://buddhanexus.net/tib/text/K10D0143=D0611=D0918_H0145
K10D0144 	H0146 	https://buddhanexus.net/tib/text/K10D0144_H0146
K10D0146 	H0147 	https://buddhanexus.net/tib/text/K10D0146_H0147
K10D0147 	H0148 	https://buddhanexus.net/tib/text/K10D0147_H0148
K10D0148 	H0149 	https://buddhanexus.net/tib/text/K10D0148_H0149
K10D0149 	H0150 	https://buddhanexus.net/tib/text/K10D0149_H0150
K10D0150 	H0151 	https://buddhanexus.net/tib/text/K10D0150_H0151
K10D0151 	H0152 	https://buddhanexus.net/tib/text/K10D0151_H0152
K10D0152 	H0153 	https://buddhanexus.net/tib/text/K10D0152_H0153
K10D0153 	H0154 	https://buddhanexus.net/tib/text/K10D0153_H0154
K10D0154 	H0155 	https://buddhanexus.net/tib/text/K10D0154_H0155
K10D0155 	H0156 	https://buddhanexus.net/tib/text/K10D0155_H0156
K10D0156 	H0157 	https://buddhanexus.net/tib/text/K10D0156_H0157
K10D0157 	H0158 	https://buddhanexus.net/tib/text/K10D0157_H0158
K10D0158 	H0159 	https://buddhanexus.net/tib/text/K10D0158_H0159
K10D0159 	H0160 	https://buddhanexus.net/tib/text/K10D0159_H0160
K10D0160 	H0161 	https://buddhanexus.net/tib/text/K10D0160_H0161
K10D0161 	H0162 	https://buddhanexus.net/tib/text/K10D0161_H0162
K10D0162 	H0163 	https://buddhanexus.net/tib/text/K10D0162_H0163
K10D0163 	H0164 	https://buddhanexus.net/tib/text/K10D0163_H0164
K10D0164 	H0165 	https://buddhanexus.net/tib/text/K10D0164_H0165
K10D0165 	H0166 	https://buddhanexus.net/tib/text/K10D0165_H0166
K10D0166 	H0167 	https://buddhanexus.net/tib/text/K10D0166_H0167
K10D0167 	H0168 	https://buddhanexus.net/tib/text/K10D0167_H0168
K10D0168 	H0169 	https://buddhanexus.net/tib/text/K10D0168_H0169
K10D0169 	H0170 	https://buddhanexus.net/tib/text/K10D0169_H0170
K10D0170 	H0171 	https://buddhanexus.net/tib/text/K10D0170_H0171
K10D0171 	H0172 	https://buddhanexus.net/tib/text/K10D0171_H0172
K10D0172 	H0173 	https://buddhanexus.net/tib/text/K10D0172_H0173
K10D0173 	H0174 	https://buddhanexus.net/tib/text/K10D0173_H0174
K10D0174 	H0175 	https://buddhanexus.net/tib/text/K10D0174_H0175
K10D0175 	H0176 	https://buddhanexus.net/tib/text/K10D0175_H0176
K10D0176 	H0177 	https://buddhanexus.net/tib/text/K10D0176_H0177
K10D0177 	H0178 	https://buddhanexus.net/tib/text/K10D0177_H0178
K10D0178 	H0179 	https://buddhanexus.net/tib/text/K10D0178_H0179
K10D0179 	H0180 	https://buddhanexus.net/tib/text/K10D0179_H0180
K10D0180 	H0181 	https://buddhanexus.net/tib/text/K10D0180_H0181
K10D0181 	H0182 	https://buddhanexus.net/tib/text/K10D0181_H0182
K10D0182 	H0183 	https://buddhanexus.net/tib/text/K10D0182_H0183
K10D0183 	H0184 	https://buddhanexus.net/tib/text/K10D0183_H0184
K10D0184 	H0185 	https://buddhanexus.net/tib/text/K10D0184_H0185
K10D0185 	H0186 	https://buddhanexus.net/tib/text/K10D0185_H0186
K10D0186 	H0187 	https://buddhanexus.net/tib/text/K10D0186_H0187
K10D0187 	H0188 	https://buddhanexus.net/tib/text/K10D0187_H0188
K10D0188 	H0189 	https://buddhanexus.net/tib/text/K10D0188_H0189
K10D0189 	H0190 	https://buddhanexus.net/tib/text/K10D0189_H0190
K10D0190 	H0191 	https://buddhanexus.net/tib/text/K10D0190_H0191
K10D0191 	H0192 	https://buddhanexus.net/tib/text/K10D0191_H0192
K10D0192 	H0193 	https://buddhanexus.net/tib/text/K10D0192_H0193
K10D0193=D0739 	H0194 	https://buddhanexus.net/tib/text/K10D0193=D0739_H0194
K10D0194 	H0195 	https://buddhanexus.net/tib/text/K10D0194_H0195
K10D0195 	H0196 	https://buddhanexus.net/tib/text/K10D0195_H0196
K10D0196 	H0197 	https://buddhanexus.net/tib/text/K10D0196_H0197
K10D0197 	H0198 	https://buddhanexus.net/tib/text/K10D0197_H0198
K10D0198 	H0199 	https://buddhanexus.net/tib/text/K10D0198_H0199
K10D0199 	H0200 	https://buddhanexus.net/tib/text/K10D0199_H0200
K10D0200 	H0201 	https://buddhanexus.net/tib/text/K10D0200_H0201
K10D0201 	H0202 	https://buddhanexus.net/tib/text/K10D0201_H0202
K10D0202 	H0203 	https://buddhanexus.net/tib/text/K10D0202_H0203
K10D0203 	H0204 	https://buddhanexus.net/tib/text/K10D0203_H0204
K10D0204 	H0205 	https://buddhanexus.net/tib/text/K10D0204_H0205
K10D0205 	H0206 	https://buddhanexus.net/tib/text/K10D0205_H0206
K10D0206 	H0207 	https://buddhanexus.net/tib/text/K10D0206_H0207
K10D0207 	H0208 	https://buddhanexus.net/tib/text/K10D0207_H0208
K10D0208 	H0209 	https://buddhanexus.net/tib/text/K10D0208_H0209
K10D0209 	H0210 	https://buddhanexus.net/tib/text/K10D0209_H0210
K10D0210 	H0211 	https://buddhanexus.net/tib/text/K10D0210_H0211
K10D0211 	H0212 	https://buddhanexus.net/tib/text/K10D0211_H0212
K10D0212=D0520=D0980 	H0213 	https://buddhanexus.net/tib/text/K10D0212=D0520=D0980_H0213
K10D0213 	H0214 	https://buddhanexus.net/tib/text/K10D0213_H0214
K10D0214 	H0215 	https://buddhanexus.net/tib/text/K10D0214_H0215
K10D0215 	H0216 	https://buddhanexus.net/tib/text/K10D0215_H0216
K10D0216 	H0217 	https://buddhanexus.net/tib/text/K10D0216_H0217
K10D0217 	H0218 	https://buddhanexus.net/tib/text/K10D0217_H0218
K10D0218 	H0219 	https://buddhanexus.net/tib/text/K10D0218_H0219
K10D0219 	H0220 	https://buddhanexus.net/tib/text/K10D0219_H0220
K10D0220 	H0221 	https://buddhanexus.net/tib/text/K10D0220_H0221
K10D0221 	H0222 	https://buddhanexus.net/tib/text/K10D0221_H0222
K10D0222 	H0223 	https://buddhanexus.net/tib/text/K10D0222_H0223
K10D0223 	H0224 	https://buddhanexus.net/tib/text/K10D0223_H0224
K10D0224 	H0225 	https://buddhanexus.net/tib/text/K10D0224_H0225
